,Unnamed: 0,host_name,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,has_availability,first_review,last_review,license,instant_bookable,host_id,host_acceptance_rate,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
0,0,Rebecca,2008-08-29,No location,within an hour,100.0,t,Hyde Park,"['email', 'phone']",t,t,Neighborhood highlights,Hyde Park,Private room in condo,Private room,1 shared bath,"[""Shower gel"", ""Refrigerator"", ""First aid kit"", ""Heating"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Fast wifi \u2013 576 Mbps"", ""Wine glasses"", ""Hangers"", ""Bathtub"", ""Long term stays allowed"", ""Free washer \u2013 In building"", ""Hot water kettle"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Free dryer \u2013 In building"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Coffee maker: drip coffee maker, french press, Keurig coffee machine"", ""40 inch HDTV with Roku"", ""Carbon monoxide alarm"", ""Piano"", ""Window AC unit"", ""Dedicated workspace"", ""Toaster"", ""Smoke alarm"", ""Gas stove"", ""Housekeeping available 1 day a week - included with your stay"", ""Extra pillows and blankets"", ""Free street parking"", ""Blender"", ""Clothing storage: closet and dresser"", ""Host greets you"", ""Freezer"", ""Baking sheet"", ""Portable fans"", ""Kitchen"", ""Cooking basics"", ""Dr. Bronner\u2019s Pur\u00e9 Castile Liquid Soap body soap"", ""Toaster oven single oven"", ""Microwave"", ""Hot water""]",t,2015-01-09,2024-09-12,R17000015609,f,2613,88.0,1.0,41.7879,-87.5878,1.0,1.0,1.0,1.0,125.0,3.0,89,3.0,89.0,13,43,73,345,31.2,19.0,1.0,4.99,4.98,4.99,4.99,4.98,4.95,4.94,2.08
1,1,Sarah,2009-05-19,"Chicago, IL",within an hour,100.0,t,Ukrainian Village,"['email', 'phone']",t,t,Neighborhood highlights,West Town,Entire rental unit,Entire home/apt,1 bath,"[""Self check-in"", ""Wifi"", ""Central heating"", ""Stove"", ""Smart lock"", ""Dining table"", ""Wine glasses"", ""Hangers"", ""Oven"", ""Private entrance"", ""Bathtub"", ""Room-darkening shades"", ""Long term stays allowed"", ""Hot water kettle"", ""Body soap"", ""Coffee maker"", ""Books and reading material"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Laundromat nearby"", ""Iron"", ""Fire extinguisher"", ""Mini fridge"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Window AC unit"", ""Toaster"", ""Smoke alarm"", ""Single level home"", ""Extra pillows and blankets"", ""Free street parking"", ""HDTV"", ""Clothing storage: closet and dresser"", ""Freezer"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",t,2009-07-03,2024-08-25,R24000114046,f,17928,100.0,2.0,41.90166,-87.68021,2.0,1.0,1.0,1.0,94.0,2.0,60,2.0,1125.0,6,18,39,314,31.2,36.0,1.0,4.71,4.85,4.57,4.91,4.87,4.9,4.75,2.94
2,2,At Home Inn,2009-08-21,"Chicago, IL",within an hour,94.0,t,Old Town,"['email', 'phone', 'work_email']",t,t,No specified,Lincoln Park,Entire rental unit,Entire home/apt,1 bath,"[""Refrigerator"", ""BBQ grill"", ""Radiant heating"", ""Self check-in"", ""Wifi"", ""Beach access \u2013 Beachfront"", ""Pets allowed"", ""Pack \u2019n play/Travel crib - available upon request"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Lake access"", ""Crib"", ""Wine glasses"", ""Hangers"", ""Oven"", ""Private entrance"", ""Free parking on premises"", ""Bathtub"", ""Outdoor furniture"", ""Long term stays allowed"", ""Free washer \u2013 In building"", ""High chair"", ""Hot water kettle"", ""Outdoor dining area"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Free dryer \u2013 In building"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Toaster"", ""Window AC unit"", ""Shared patio or balcony"", ""TV with standard cable"", ""Smoke alarm"", ""Gas stove"", ""Extra pillows and blankets"", ""Keypad"", ""Freezer"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",t,2014-04-28,2024-09-14,2209984,t,33004,95.0,11.1,41.91196,-87.63981,4.0,1.0,2.0,2.0,174.0,4.0,120,4.0,1125.0,9,27,48,221,104.0,30.0,4.0,4.7,4.83,4.81,4.84,4.87,4.98,4.72,0.82
3,3,Shay And Robert,2009-10-18,"Chicago, IL",within an hour,100.0,f,Lincoln Park,"['email', 'phone']",t,t,Neighborhood highlights,Lincoln Park,Room in boutique hotel,Private room,1 private bath,"[""Shower gel"", ""First aid kit"", ""Building staff"", ""Self check-in"", ""Wifi"", ""Heating"", ""Shampoo"", ""Cleaning available during stay"", ""Hangers"", ""Free parking on premises"", ""Bathtub"", ""Room-darkening shades"", ""Central air conditioning"", ""Body soap"", ""Conditioner"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV with standard cable"", ""Smoke alarm"", ""Free street parking"", ""Hot water""]",t,2015-06-29,2024-05-27,R20000055258,f,46734,75.0,1.0,41.92357,-87.64947,3.0,1.0,1.0,1.0,339.0,2.0,10,2.0,10.0,19,42,72,162,16.0,1.0,0.0,4.94,4.69,5.0,5.0,5.0,5.0,4.81,0.14
4,4,Lauri,2009-07-25,Italy,within a few hours,100.0,t,Bucktown,"['email', 'phone']",t,t,Neighborhood highlights,Logan Square,Entire loft,Entire home/apt,2 baths,"[""Shower gel"", ""Bidet"", ""Refrigerator"", ""First aid kit"", ""Portable fans"", ""Wifi"", ""Dishwasher"", ""Pets allowed"", ""Heating"", ""Self check-in"", ""Dryer"", ""Stove"", ""Exterior security cameras on property"", ""Clothing storage: walk-in closet"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Ethernet connection"", ""Cleaning available during stay"", ""Wine glasses"", ""Hangers"", ""Oven"", ""Private entrance"", ""Private patio or balcony"", ""Free parking on premises"", ""Bathtub"", ""Outdoor furniture"", ""Air conditioning"", ""Hot water kettle"", ""Washer"", ""Body soap"", ""Coffee maker"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Toaster"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Keypad"", ""Smoking allowed"", ""Blender"", ""TV with DVD player, Roku"", ""Freezer"", ""Baking sheet"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",t,2010-12-01,2024-09-09,R24000113825,f,27506,88.0,7.0,41.92137,-87.67933,6.0,2.0,3.0,3.0,200.0,2.0,30,2.0,30.0,14,14,28,45,31.2,38.0,1.2,4.8,4.86,4.75,4.93,4.86,4.92,4.71,1.34
5,5,Michael And Veronica,2011-01-03,"Chicago, IL",within an hour,100.0,t,Ukrainian Village,"['email', 'phone']",t,f,Neighborhood highlights,West Town,Private room in rental unit,Private room,1 shared bath,"[""Shower gel"", ""Refrigerator"", ""BBQ grill"", ""Wifi"", ""Heating"", ""Stove"", ""Breakfast"", ""Coffee"", ""Lock on bedroom door"", ""Shampoo"", ""Lake access"", ""Hangers"", ""Oven"", ""Free parking on premises"", ""TV"", ""Paid parking off premises"", ""Central air conditioning"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Outdoor dining area"", ""Body soap"", ""Coffee maker"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Laundromat nearby"", ""Barbecue utensils"", ""Dedicated workspace"", ""Shared patio or balcony"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Host greets you"", ""Baking sheet"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",t,2011-05-23,2024-09-14,R23000108832,f,334241,96.0,3.0,41.89615,-87.67934,2.0,1.0,1.0,1.0,95.0,3.0,60,3.0,1125.0,8,33,63,243,122.0,17.0,2.0,4.88,4.93,4.75,4.96,4.94,4.84,4.84,0.75
6,6,Mark,2011-04-12,No location,within an hour,100.0,t,Andersonville,"['email', 'phone']",t,t,Neighborhood highlights,Edgewater,Entire rental unit,Entire home/apt,1 bath,"[""Refrigerator"", ""Radiant heating"", ""Backyard"", ""Self check-in"", ""Dishwasher"", ""Lake access"", ""Shared beach access"", ""Shampoo"", ""Wine glasses"", ""Hangers"", ""Oven"", ""Children\u2019s dinnerware"", ""Paid dryer \u2013 In building"", ""Air conditioning"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Coffee maker: drip coffee maker"", ""Paid washer \u2013 In building"", ""Dishes and silverware"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""40 inch HDTV with Roku"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Toaster"", ""Smoke alarm"", ""Gas stove"", ""Fast wifi \u2013 82 Mbps"", ""Extra pillows and blankets"", ""Free street parking"", ""Keypad"", ""Blender"", ""Freezer"", ""Portable fans"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",t,2022-07-23,2024-09-02,R22000082956,f,504470,90.0,3.0,41.9796,-87.66512,1.0,1.0,1.0,1.0,115.0,3.0,90,3.0,1125.0,0,0,4,184,30.0,13.0,2.0,4.97,5.0,4.87,5.0,5.0,5.0,4.97,1.14
7,7,Joe,2011-06-09,"Chicago, IL",within a few hours,100.0,t,Roscoe Village,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,North Center,Entire rental unit,Entire home/apt,2 baths,"[""Paid parking on premises"", ""Refrigerator"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Shampoo"", ""Hangers"", ""Oven"", ""Air conditioning"", ""Long term stays allowed"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Shared patio or balcony"", ""TV with standard cable"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Indoor fireplace"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",t,2015-10-15,2024-05-05,2209272,t,683529,98.0,38.0,41.94342,-87.68121,8.0,2.0,3.0,3.0,230.0,32.0,1125,32.0,1125.0,28,54,84,359,77.0,4.0,0.0,4.78,4.81,4.91,4.76,4.9,4.88,4.71,0.71
8,8,Joe,2011-06-09,"Chicago, IL",within a few hours,100.0,t,Roscoe Village,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Lincoln Park,Entire rental unit,Entire home/apt,2 baths,"[""Refrigerator"", ""BBQ grill"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Shampoo"", ""Hangers"", ""Oven"", ""Air conditioning"", ""Long term stays allowed"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Shared patio or balcony"", ""TV with standard cable"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Indoor fireplace"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",t,2015-06-05,2022-08-11,2083778,t,683529,98.0,38.0,41.91289,-87.63864,10.0,2.0,1.5,4.0,293.0,32.0,1125,32.0,1125.0,30,60,90,359,86.0,0.0,0.0,4.78,4.78,4.89,4.79,4.9,4.95,4.65,0.76
9,9,Meighan,2011-07-31,"Chicago, IL",within an hour,100.0,t,Logan Square,"['email', 'phone']",t,t,Neighborhood highlights,Logan Square,Entire rental unit,Entire home/apt,1 bath,"[""Stove"", ""Babysitter recommendations"", ""Coffee"", ""Shampoo"", ""Ethernet connection"", ""Private entrance"", ""Pack \u2019n play/Travel crib"", ""Smoking allowed"", ""Hair dryer"", ""Bed linens"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Free street parking"", ""Board games"", ""Portable fans"", ""Ceiling fan"", ""HDTV with Amazon Prime Video, Hulu, Netflix, Roku"", ""Microwave"", ""BBQ grill"", ""Table corner guards"", ""Wine glasses"", ""Hangers"", ""Bathtub"", ""High chair"", ""Hot water kettle"", ""Paid parking garage on premises \u2013 1 space"", ""Dishes and silverware"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Barbecue utensils"", ""Fast wifi \u2013 120 Mbps"", ""Baby bath"", ""Blender"", ""Freezer"", ""Kitchen"", ""Cooking basics"", ""Shower gel"", ""Refrigerator"", ""Outlet covers"", ""Dining table"", ""Cleaning available during stay"", ""Room-darkening shades"", ""Children\u2019s books and toys"", ""Clothing storage: closet"", ""Free washer \u2013 In building"", ""Body soap"", ""Coffee maker"", ""Books and reading material"", ""Window guards"", ""Laundromat nearby"", ""Extra pillows and blankets"", ""Keypad"", ""Portable heater"", ""Shared backyard \u2013 Fully fenced"", ""Shared patio or balcony"", ""Morrocan Hair conditioner"", ""First aid kit"", ""Radiant heating"", ""Single oven"", ""Self check-in"", ""Pets allowed"", ""Garden view"", ""Fire pit"", ""Crib"", ""Children\u2019s dinnerware"", ""Outdoor furniture"", ""Outdoor dining area"", ""Free dryer \u2013 In building"", ""Cleaning products"", ""Drying rack for clothing"", ""Carbon monoxide alarm"", ""Exercise equipment: free weights, stationary bike, yoga mat, rowing"", ""Window AC unit"", ""Toaster"", ""Smoke alarm"", ""Baking sheet"", ""Hot water""]",t,2011-09-16,2024-09-01,R23000108826,f,899757,100.0,2.0,41.92918,-87.70219,5.0,1.0,2.0,3.0,219.0,2.0,28,2.3,1125.0,10,33,52,220,31.2,44.0,2.0,4.95,4.98,4.93,4.97,4.96,4.92,4.89,4.23
