host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,price,has_availability,first_review,last_review,license,instant_bookable,id,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
Rebecca,2008-08-29,No location,within an hour,100,81,f,Hyde Park,['email' 'phone'],t,t,Neighborhood highlights,Hyde Park,Private room in condo,Private room,1 shared bath,"[""Host greets you"" ""Hot water kettle"" ""Carbon monoxide alarm"" ""Clothing storage: closet and dresser"" ""Smoke alarm"" ""Dining table"" ""Wine glasses"" ""Shampoo"" ""Coffee maker: drip coffee maker french press Keurig coffee machine"" ""Shower gel"" ""Paid parking garage off premises"" ""Cooking basics"" ""Iron"" ""Cleaning products"" ""Conditioner"" ""Dr. Bronner\u2019s Pur\u00e9 Castile Liquid Soap body soap"" ""Essentials"" ""Long term stays allowed"" ""Bathtub"" ""Blender"" ""Portable fans"" ""40 inch HDTV with Roku"" ""Dishes and silverware"" ""Free dryer \u2013 In building"" ""Hot water"" ""Free washer \u2013 In building"" ""Hair dryer"" ""Dedicated workspace"" ""Bed linens"" ""Fire extinguisher"" ""First aid kit"" ""Baking sheet"" ""Microwave"" ""Hangers"" ""Books and reading material"" ""Refrigerator"" ""Gas stove"" ""Piano"" ""Freezer"" ""Coffee"" ""Fast wifi \u2013 583 Mbps"" ""Free street parking"" ""Kitchen"" ""Housekeeping available 1 day a week - included with your stay"" ""Extra pillows and blankets"" ""Window AC unit"" ""Heating"" ""Toaster oven single oven""]",125.0,t,2015-01-09,2024-10-14,R17000015609,f,2384,1.0,41.9,-87.5878,1.0,1.0,1.0,1.0,3.0,89,3.0,89.0,25,50,73,343,30.8,16.0,0.0,4.99,4.98,4.99,4.99,4.98,4.95,4.8,2.02
Sarah,2009-05-19,Chicago IL,within an hour,100,100,t,Ukrainian Village,['email' 'phone'],t,t,Neighborhood highlights,West Town,Entire rental unit,Entire home/apt,1 bath,"[""Window AC unit"" ""Central heating"" ""Dishes and silverware"" ""Clothing storage: closet and dresser"" ""Dedicated workspace"" ""Mini fridge"" ""Toaster"" ""Laundromat nearby"" ""Kitchen"" ""Fire extinguisher"" ""Extra pillows and blankets"" ""Cooking basics"" ""Body soap"" ""Oven"" ""Books and reading material"" ""Luggage dropoff allowed"" ""Hot water"" ""HDTV"" ""Wifi"" ""Freezer"" ""Smart lock"" ""Wine glasses"" ""Room-darkening shades"" ""Essentials"" ""Hot water kettle"" ""Single level home"" ""Dining table"" ""Self check-in"" ""Bathtub"" ""Private entrance"" ""Long term stays allowed"" ""Stove"" ""Smoke alarm"" ""Free street parking"" ""Bed linens"" ""Microwave"" ""Hair dryer"" ""Hangers"" ""Carbon monoxide alarm"" ""Coffee maker"" ""Iron""]",81.0,t,2009-07-03,2025-02-09,R24000114046,f,7126,2.0,41.90166,-87.68021,2.0,1.0,1.0,1.0,2.0,60,2.0,1125.0,13,25,41,275,30.8,11.7,0.0,4.72,4.85,4.9,4.91,4.88,4.9,4.8,2.98
At Home Inn,2009-08-21,Chicago IL,within an hour,100,97,t,Old Town,['email' 'phone' 'work_email'],t,t,No specified,Lincoln Park,Entire rental unit,Entire home/apt,1 bath,"[""Window AC unit"" ""Dishes and silverware"" ""High chair"" ""TV with standard cable"" ""Toaster"" ""Pack \u2019n play/Travel crib - available upon request"" ""Kitchen"" ""Fire extinguisher"" ""Extra pillows and blankets"" ""Cooking basics"" ""Body soap"" ""Oven"" ""Pets allowed"" ""Luggage dropoff allowed"" ""Hot water"" ""Gas stove"" ""Beach access \u2013 Beachfront"" ""Shared patio or balcony"" ""Wifi"" ""Freezer"" ""Wine glasses"" ""Radiant heating"" ""Free washer \u2013 In building"" ""Refrigerator"" ""Free dryer \u2013 In building"" ""Essentials"" ""Shampoo"" ""Hot water kettle"" ""Dining table"" ""Self check-in"" ""Outdoor furniture"" ""Lake access"" ""Bathtub"" ""Free parking on premises"" ""Private entrance"" ""Long term stays allowed"" ""Crib"" ""Smoke alarm"" ""Bed linens"" ""Keypad"" ""Microwave"" ""Coffee"" ""Hair dryer"" ""BBQ grill"" ""Outdoor dining area"" ""Hangers"" ""Carbon monoxide alarm"" ""Coffee maker"" ""Iron""]",187.0,t,2014-04-28,2025-01-02,2209984,t,10945,13.1,41.91196,-87.63981,4.0,1.0,2.0,2.0,4.0,120,4.0,1125.0,0,13,33,260,22.9,34.0,0.0,4.72,4.83,4.81,4.83,4.87,4.97,4.8,0.88
Lauri,2009-07-25,Italy,within a few hours,100,89,t,Bucktown,['email' 'phone'],t,t,Neighborhood highlights,Logan Square,Entire loft,Entire home/apt,2 baths,"[""Dishes and silverware"" ""TV with DVD player Roku"" ""Dishwasher"" ""Dedicated workspace"" ""Shower gel"" ""Heating"" ""Toaster"" ""Kitchen"" ""Fire extinguisher"" ""Extra pillows and blankets"" ""Cooking basics"" ""Body soap"" ""Oven"" ""Books and reading material"" ""Private patio or balcony"" ""Air conditioning"" ""Pets allowed"" ""Hot water"" ""Luggage dropoff allowed"" ""Dryer"" ""Wifi"" ""Freezer"" ""Bidet"" ""Wine glasses"" ""Blender"" ""Refrigerator"" ""Ceiling fan"" ""Essentials"" ""Shampoo"" ""Hot water kettle"" ""Dining table"" ""Self check-in"" ""Outdoor furniture"" ""Conditioner"" ""First aid kit"" ""Exterior security cameras on property"" ""Bathtub"" ""Free parking on premises"" ""Private entrance"" ""Stove"" ""Ethernet connection"" ""Smoke alarm"" ""Washer"" ""Free street parking"" ""Bed linens"" ""Cleaning products"" ""Keypad"" ""Microwave"" ""Clothing storage: walk-in closet"" ""Coffee"" ""Hair dryer"" ""Portable fans"" ""Hangers"" ""Carbon monoxide alarm"" ""Coffee maker"" ""Baking sheet"" ""Iron"" ""Smoking allowed"" ""Cleaning available during stay""]",196.0,t,2010-12-01,2025-03-09,R24000113825,f,28749,7.0,41.91955,-87.70069,6.0,1.0,3.0,3.0,2.0,10,2.0,10.0,12,26,42,55,30.8,47.0,0.0,4.82,4.87,4.76,4.94,4.88,4.93,4.8,1.4
Michael And Veronica,2011-01-03,Chicago IL,within an hour,100,97,t,Ukrainian Village,['email' 'phone'],t,f,Neighborhood highlights,West Town,Private room in rental unit,Private room,1 shared bath,"[""Dishes and silverware"" ""Dedicated workspace"" ""Shower gel"" ""Heating"" ""Laundromat nearby"" ""Kitchen"" ""Fire extinguisher"" ""Extra pillows and blankets"" ""Cooking basics"" ""Body soap"" ""Oven"" ""Hot water"" ""Shared patio or balcony"" ""Wifi"" ""Lock on bedroom door"" ""Breakfast"" ""Host greets you"" ""TV"" ""Refrigerator"" ""Essentials"" ""Shampoo"" ""Conditioner"" ""Barbecue utensils"" ""Lake access"" ""Free parking on premises"" ""Central air conditioning"" ""Long term stays allowed"" ""Stove"" ""Smoke alarm"" ""Paid parking off premises"" ""Free street parking"" ""Bed linens"" ""Cleaning products"" ""Clothing storage: closet"" ""Microwave"" ""Coffee"" ""Hair dryer"" ""BBQ grill"" ""Outdoor dining area"" ""Hangers"" ""Coffee maker"" ""Baking sheet"" ""Iron""]",76.0,t,2011-05-23,2024-11-26,R23000108832,f,71930,3.0,41.89615,-87.67934,2.0,1.0,1.0,1.0,3.0,60,3.0,1125.0,0,0,0,0,22.9,19.0,0.0,4.89,4.93,4.75,4.96,4.95,4.84,4.84,0.77
Mark,2011-04-12,No location,within an hour,100,85,t,Andersonville,['email' 'phone'],t,t,Neighborhood highlights,Edgewater,Entire rental unit,Entire home/apt,1 bath,"[""Dishes and silverware"" ""Children\u2019s dinnerware"" ""Dishwasher"" ""Dedicated workspace"" ""Toaster"" ""Kitchen"" ""Fire extinguisher"" ""Extra pillows and blankets"" ""Paid dryer \u2013 In building"" ""Cooking basics"" ""Oven"" ""Air conditioning"" ""Hot water"" ""Gas stove"" ""Fast wifi \u2013 82 Mbps"" ""Freezer"" ""Wine glasses"" ""Radiant heating"" ""Blender"" ""Refrigerator"" ""Shampoo"" ""Essentials"" ""Coffee maker: drip coffee maker"" ""Self check-in"" ""Lake access"" ""Shared beach access"" ""Long term stays allowed"" ""Smoke alarm"" ""Free street parking"" ""Paid washer \u2013 In building"" ""Bed linens"" ""Cleaning products"" ""Clothing storage: closet"" ""Keypad"" ""Microwave"" ""Backyard"" ""Hair dryer"" ""Portable fans"" ""Hangers"" ""Carbon monoxide alarm"" ""Iron"" ""40 inch HDTV with Roku""]",109.0,t,2022-07-23,2024-10-14,R22000082956,f,94450,3.0,41.9796,-87.66512,1.0,1.0,1.0,1.0,3.0,90,3.0,1125.0,0,7,31,184,32.0,10.0,0.0,4.97,5.0,4.88,5.0,5.0,5.0,4.8,0.99
Joe,2011-06-09,Chicago IL,within a few hours,100,94,t,Roscoe Village,['email' 'phone' 'work_email'],t,t,Neighborhood highlights,North Center,Entire rental unit,Entire home/apt,2 baths,"[""Dishes and silverware"" ""Dishwasher"" ""High chair"" ""TV with standard cable"" ""Heating"" ""Kitchen"" ""Pack \u2019n play/Travel crib"" ""Fire extinguisher"" ""Cooking basics"" ""Oven"" ""Air conditioning"" ""Luggage dropoff allowed"" ""Hot water"" ""Shared patio or balcony"" ""Dryer"" ""Indoor fireplace"" ""Wifi"" ""Refrigerator"" ""Essentials"" ""Shampoo"" ""Self check-in"" ""Long term stays allowed"" ""Stove"" ""Smoke alarm"" ""Washer"" ""Free street parking"" ""Paid parking on premises"" ""Keypad"" ""Microwave"" ""Backyard"" ""Hair dryer"" ""Hangers"" ""Carbon monoxide alarm"" ""Coffee maker"" ""Iron""]",230.0,t,2015-10-15,2024-05-05,2209272,t,145659,7.7,41.94342,-87.68121,8.0,1.0,3.0,3.0,32.0,1125,32.0,1125.0,28,58,88,359,17.9,1.0,0.0,4.78,4.9,4.91,4.9,4.9,4.88,4.8,0.67
Joe,2011-06-09,Chicago IL,within a few hours,100,94,t,Roscoe Village,['email' 'phone' 'work_email'],t,t,Neighborhood highlights,Lincoln Park,Entire rental unit,Entire home/apt,2 baths,"[""Dishes and silverware"" ""Dishwasher"" ""High chair"" ""TV with standard cable"" ""Heating"" ""Kitchen"" ""Pack \u2019n play/Travel crib"" ""Fire extinguisher"" ""Cooking basics"" ""Oven"" ""Air conditioning"" ""Luggage dropoff allowed"" ""Hot water"" ""Shared patio or balcony"" ""Dryer"" ""Indoor fireplace"" ""Wifi"" ""Refrigerator"" ""Essentials"" ""Shampoo"" ""Self check-in"" ""Long term stays allowed"" ""Stove"" ""Smoke alarm"" ""Washer"" ""Free street parking"" ""Keypad"" ""Microwave"" ""Hair dryer"" ""BBQ grill"" ""Hangers"" ""Carbon monoxide alarm"" ""Coffee maker"" ""Iron""]",240.0,t,2015-06-05,2024-12-02,2083778,t,145690,7.7,41.91289,-87.63864,10.0,1.0,1.6,4.0,32.0,1125,32.0,1125.0,30,60,86,356,17.9,1.0,0.0,4.78,4.9,4.9,4.79,4.9,4.95,4.8,0.73
Meighan,2011-07-31,Chicago IL,within an hour,100,100,t,Logan Square,['email' 'phone'],t,f,Neighborhood highlights,Logan Square,Entire rental unit,Entire home/apt,1 bath,"[""High chair"" ""Kitchen"" ""Extra pillows and blankets"" ""Freezer"" ""Wine glasses"" ""Baby bath"" ""Refrigerator"" ""Ceiling fan"" ""Dining table"" ""Self check-in"" ""Barbecue utensils"" ""Bathtub"" ""Free street parking"" ""Bed linens"" ""Keypad"" ""Babysitter recommendations"" ""Coffee"" ""Carbon monoxide alarm"" ""Coffee maker"" ""Baking sheet"" ""Garden view"" ""Single oven"" ""Shower gel"" ""Drying rack for clothing"" ""Fire extinguisher"" ""Hot water"" ""Free dryer \u2013 In building"" ""Hot water kettle"" ""Stove"" ""Ethernet connection"" ""Outlet covers"" ""Hair dryer"" ""Pets allowed"" ""Luggage dropoff allowed"" ""Window AC unit"" ""Children\u2019s dinnerware"" ""Toaster"" ""Fire pit"" ""Books and reading material"" ""Shared backyard \u2013 Fully fenced"" ""Radiant heating"" ""Room-darkening shades"" ""Essentials"" ""Outdoor furniture"" ""First aid kit"" ""Fast wifi \u2013 120 Mbps"" ""Paid parking garage on premises \u2013 1 space"" ""Private entrance"" ""Crib"" ""Exercise equipment: free weights stationary bike yoga mat rowing"" ""Portable heater"" ""Cleaning products"" ""Morrocan Hair conditioner"" ""Table corner guards"" ""BBQ grill"" ""Outdoor dining area"" ""HDTV with Amazon Prime Video Hulu Netflix Roku"" ""Smoking allowed"" ""Cleaning available during stay"" ""Dishes and silverware"" ""Dedicated workspace"" ""Laundromat nearby"" ""Pack \u2019n play/Travel crib"" ""Window guards"" ""Children\u2019s books and toys"" ""Cooking basics"" ""Body soap"" ""Shared patio or balcony"" ""Free washer \u2013 In building"" ""Blender"" ""Shampoo"" ""Smoke alarm"" ""Clothing storage: closet"" ""Microwave"" ""Board games"" ""Portable fans"" ""Hangers"" ""Iron""]",208.0,t,2011-09-16,2025-02-17,R23000108826,f,189821,2.0,41.92918,-87.70219,5.0,1.0,2.0,3.0,3.0,28,3.2,1125.0,11,27,41,196,30.8,42.0,0.0,4.95,4.97,4.93,4.97,4.95,4.91,4.8,1.5
Jb,2011-08-25,Chicago IL,within an hour,100,100,t,Pullman,['email' 'phone'],t,t,Neighborhood highlights,Pullman,Entire rental unit,Entire home/apt,1 bath,"[""Window AC unit"" ""Dishes and silverware"" ""Toaster"" ""Heating"" ""Kitchen"" ""Lockbox"" ""Fire extinguisher"" ""Extra pillows and blankets"" ""Cooking basics"" ""Fast wifi \u2013 152 Mbps"" ""Luggage dropoff allowed"" ""Hot water"" ""Wine glasses"" ""Host greets you"" ""Free washer \u2013 In building"" ""Refrigerator"" ""Free dryer \u2013 In building"" ""Essentials"" ""Dining table"" ""Self check-in"" ""First aid kit"" ""Bathtub"" ""Free parking on premises"" ""Private entrance"" ""Long term stays allowed"" ""Stove"" ""Smoke alarm"" ""Free street parking"" ""Bed linens"" ""Microwave"" ""Backyard"" ""Hair dryer"" ""BBQ grill"" ""Portable fans"" ""Hangers"" ""Carbon monoxide alarm"" ""Coffee maker"" ""Baking sheet"" ""Iron"" ""Frigidare stainless steel oven""]",167.0,t,2011-09-06,2025-02-01,R21000073121,f,207218,3.0,41.9,-87.60712,2.0,1.0,1.0,1.0,32.0,125,32.0,125.0,29,59,89,364,30.8,2.0,0.0,4.9,4.93,4.84,4.97,4.97,4.71,4.8,1.94
